uniqueID,drugName,condition,review,rating,date,usefulCount
96233,Sertraline,Depression,"""1 week on Zoloft for anxiety and mood swings. I take 50mg in the mornings with my breakfast. Nausea on day one  but that subsided as the week went on.  I get the jitters about 2 hrs after taking it followed by yawning. I feel much better though and less angry/stressed.""",8,7-May-11,3
225257,Bupropion,Depression,"""I was really glad that I experienced none of the possible side effects. After four weeks I did notice my mood getting better, but after that some things happened in my life (my dog had surgery, a break-up, a hair experiment gone wrong) that I was not able to deal with and I got worse. I felt myself spiraling downward and my anxiety shot way up. It&#039;s month number two and I just switched to lexapro. Hope it helps.""",4,8-Oct-15,0
224842,Bupropion,Depression,"""F/26, Wellbutrin SR 100mg twice a day &amp; I feel so much better. I&#039;ve tried many different SS/SNRIs over the past 12 years &amp; they all made me have extreme suicidal thoughts. I had kind of given up hope on finding something that worked for me, but then a new psychiatrist recommended trying Wellbutrin. The first week or so was rough, I had blurry vision, shakes, &amp; extreme light sensitivity. Those negative side effects went away after 3 weeks. I&#039;m 3 months in &amp; my mood has significantly increased, which is just amazing because my depression worsens significantly in the winter. I feel optimistic for the future, my sex drive is better, I have more energy &amp; am more focused (I have fibromyalgia as well so this is huge for me), and I&#039;ve quit smoking!""",10,2-Jan-17,14
225955,Bupropion,Depression,"""Wellbutrin has significantly improved my overall concentration above all else. For the first time in many years, I have been able to actually sit down and read contently without my mind wondering. I wish I had this medication before I graduated from university, my grades would probably have been much better. I take this in combination with Cipralex. I have had no side effects with this medication.""",8,8-Jun-09,46
95811,Sertraline,Depression,"""I was on the sertraline, for 3 years. After developing a strange phobia with severe anxiety, suicidal thoughts, and major depression, this medication probably saved my life. However, it only brought me back halfway. I still was depressed and still suffered from anxiety attacks, just not as much. After a couple of years, I believed it stopped working, even after increasing the dose, so I stopped taking it.""",6,12-May-14,25
95995,Sertraline,Depression,"""I was on Zoloft years 9 years ago for social anxiety and it worked great for me. I decided to get off it but slowly all my symptoms came back. Also got very depressed. Got back in Zoloft 7 months ago and I feel great again. I did have to get a night guard from my dentist. I chipped two from teeth and cracked a molar from grinding my teeth. 200mg daily.""",9,22-Mar-13,85
225545,Bupropion,Depression,"""I have taken Prozac, Zoloft, Paxil, and then my Doctor Put me on WellButrin XL 150 in the morning and that was helping me but not in the evening so she increased the Wellbutrin XL to 300mg in the morning and 150 in the evening and that was working, my mood seem to be great! But then I learned since I take the 300 and 150 that there was a new formulation on the market called Forfivo XL 450 and I take that once a day in the morning along with some Lamictal 100mg and I feel GREAT. I don&#039;t have the worrying I had at work with coworkers, or the mood swings I had while I was at work or being with family. I still take Klonopin 1mg three times a day for my anxiety and panic attacks and I take Klonopin 1mg at bedtime and Elavil 50mg to help me sleep.""",10,23-Nov-13,41
225531,Bupropion,Depression,"""I was in a bad car accident 3 years ago and it tore up my already injured back. At first I relied on Cymbalta and narcotics to get through the pain. The narcotics lifted my mood and the Cymbalta did help with all other pain. Eventually the narcotic I was on (lortab) stopped working all together. I&#039;m not a big fan of opiates for pain relief and would not have taken them had it not been my only choice to feel normal. (I couldnt even sit in my car for more than 15 mins without searing nerve pain).I accidently stumbled on a review that said Wellbutrin also helped with back pain. It has been the best thing that&#039;s happened to me. It has replaced both meds and I feel great! Cymbalta was horrible to come off of, Lortab not so much but think I was just lucky.""",10,22-Jun-14,88
225574,Bupropion,Depression,"""I started taking Wellbutrin about 3 weeks ago for depression.  I had been on Zoloft for the past 6 years and needed a change.  After the switch, I was more irritable.  Three days ago, I developed hives and swollen lips.  After my 2nd ER visit, I am back on Zoloft.""",2,3-Feb-14,40
96247,Sertraline,Depression,"""I suffered from inherited depression (chemical imbalance). My family doctor put me and my mother on it at the same time. We both were nauseous and had headaches for the first 2 weeks, the subsided. Then we went up a dose after a month to 100 mg and had the same side affects again but then went away. Now we are both happy-go-lucky. Zoloft made me normal again. Which I had forgotten what normal was years ago. Saved my marriage and my life as well. I recommend taking it at night though. """,10,8-Mar-12,45
